"","SUB.AREA","max_percent_PIC","fips","max_PI_expected_diff"
"1","Hawaii",14.9,"15",5.39479875
"2","Oregon",17.9,"41",2.60534
"3","Vermont",19,"50",5.633175
"4","Washington",20.4,"53",7.33793375
"5","Maine",25.8,"23",4.45266125
"6","Florida",25.9,"12",11.65266125
"7","New York",25.9118666446608,"36",5.54457496790652
"8","New Hampshire",26.2,"33",4.62598625
"9","Utah",28.8,"49",8.727975
"10","Louisiana",29.1,"22",10.35266125
"11","Delaware",29.6,"10",9.62598625
"12","Massachusetts",29.6,"25",9.42598625
"13","Alaska",29.7,"02",11.83793375
"14","Maryland",30,"24",8.92598625
"15","Virginia",30.3,"51",8.55266125
"16","District of Columbia",32,"11",18.427975
"17","Kentucky",32,"21",11.727975
"18","Michigan",32.3,"26",11.53006625
"19","New Jersey",32.6,"34",12.30534
"20","Missouri",34.1,"29",11.53793375
"21","Idaho",34.3,"16",9.633175
"22","South Carolina",34.7,"45",13.05266125
"23","Illinois",35,"17",12.227975
"24","Tennessee",35,"47",12.75266125
"25","Arkansas",35.6,"05",12.70534
"26","Georgia",36.1,"13",14.44109875
"27","Connecticut",36.3,"09",9.7815975
"28","Mississippi",36.4,"28",16.05266125
"29","Wisconsin",36.4,"55",7.7499725
"30","Alabama",36.6,"01",9.85266125
"31","Indiana",38.2,"18",14.40534
"32","Nevada",38.3,"32",24.55266125
"33","Pennsylvania",38.5,"42",10.227975
"34","Colorado",38.9,"08",15.23793375
"35","Minnesota",39.3,"27",11.2645175
"36","Ohio",39.4,"39",13.527975
"37","Montana",39.9,"30",14.1645175
"38","Texas",40.2,"48",17.52598625
"39","Kansas",40.9,"20",13.23006625
"40","Wyoming",42.3,"56",15.233175
"41","Oklahoma",42.7,"40",17.25266125
"42","Arizona",43.7,"04",20.50534
"43","New Mexico",44,"35",19.5499725
"44","Nebraska",45.3,"31",14.5499725
"45","Iowa",45.9,"19",14.03793375
"46","California",46.9,"06",22.32598625
"47","Rhode Island",47.9,"44",18.527975
"48","South Dakota",52.3,"46",18.43006625
"49","North Dakota",54.4,"38",21.6645175
