wavelength, firing_rate, radiance, cell_type
422.957,3.193,0.1,YB_cell
446.36,2.566,0.1,YB_cell
465.527,2.68,0.1,YB_cell
480.238,2.851,0.1,YB_cell
505.646,8.723,0.1,YB_cell
532.392,19.156,0.1,YB_cell
561.367,30.559,0.1,YB_cell
583.21,39.624,0.1,YB_cell
600.594,47.092,0.1,YB_cell
631.352,43.444,0.1,YB_cell
654.086,32.953,0.1,YB_cell
665.453,22.862,0.1,YB_cell
423.403,3.535,0.4,YB_cell
446.805,2.737,0.4,YB_cell
465.527,2.737,0.4,YB_cell
479.346,3.592,0.4,YB_cell
505.201,5.416,0.4,YB_cell
531.947,12.999,0.4,YB_cell
562.259,20.353,0.4,YB_cell
584.547,27.024,0.4,YB_cell
601.486,31.015,0.4,YB_cell
631.352,28.62,0.4,YB_cell
654.978,17.389,0.4,YB_cell
665.453,12.486,0.4,YB_cell
423.403,4.846,0.9,YB_cell
446.805,3.991,0.9,YB_cell
467.311,3.82,0.9,YB_cell
479.792,4.789,0.9,YB_cell
504.309,4.732,0.9,YB_cell
533.73,8.552,0.9,YB_cell
563.15,14.082,0.9,YB_cell
584.547,16.648,0.9,YB_cell
601.486,18.757,0.9,YB_cell
631.798,16.021,0.9,YB_cell
654.086,9.35,0.9,YB_cell
666.79,7.013,0.9,YB_cell
422.432,24.485,0.2,GR_cell
446.677,31.35,0.2,GR_cell
465.257,37.357,0.2,GR_cell
481.571,42.62,0.2,GR_cell
505.589,43.421,0.2,GR_cell
533.686,43.021,0.2,GR_cell
564.955,31.522,0.2,GR_cell
587.16,20.652,0.2,GR_cell
603.927,10.927,0.2,GR_cell
633.384,2.002,0.2,GR_cell
657.402,2.288,0.2,GR_cell
668.958,2.803,0.2,GR_cell
422.885,13.043,0.3,GR_cell
446.677,19.565,0.3,GR_cell
465.71,23.97,0.3,GR_cell
480.665,28.49,0.3,GR_cell
506.042,33.124,0.3,GR_cell
533.686,34.954,0.3,GR_cell
563.142,25.515,0.3,GR_cell
586.254,16.362,0.3,GR_cell
603.927,8.867,0.3,GR_cell
634.743,3.032,0.3,GR_cell
657.855,2.746,0.3,GR_cell
668.958,3.261,0.3,GR_cell
422.885,8.924,0.8,GR_cell
447.13,12.757,0.8,GR_cell
465.257,14.874,0.8,GR_cell
480.665,16.705,0.8,GR_cell
506.042,19.68,0.8,GR_cell
533.686,22.197,0.8,GR_cell
563.595,16.705,0.8,GR_cell
586.707,9.84,0.8,GR_cell
603.927,6.579,0.8,GR_cell
634.743,3.547,0.8,GR_cell
656.949,2.86,0.8,GR_cell
668.958,3.375,0.8,GR_cell
